Data;Localidade;Natureza;target
24/06/2018;2;2018;20800,44947
25/06/2018;2;2018;22773,32768
26/06/2018;2;2018;22474,18863
27/06/2018;2;2018;22673,36471
28/06/2018;2;2018;23610,87181
29/06/2018;2;2018;22640,47933
30/06/2018;2;2018;21166,02721
01/07/2018;2;2018;19468,06857
02/07/2018;2;2018;21760,6825
03/07/2018;2;2018;23201,34026
04/07/2018;2;2018;23028,49136
05/07/2018;2;2018;23525,69154
06/07/2018;2;2018;22358,11481
07/07/2018;2;2018;21944,72533
08/07/2018;2;2018;20030,19018
09/07/2018;2;2018;23732,37847
10/07/2018;2;2018;24793,80713
11/07/2018;2;2018;23054,03548
12/07/2018;2;2018;21823,81325
13/07/2018;2;2018;22454,19467
14/07/2018;2;2018;22242,08699
15/07/2018;2;2018;20558,01463
16/07/2018;2;2018;23019,70577
17/07/2018;2;2018;23356,10732
18/07/2018;2;2018;23317,92502
19/07/2018;2;2018;23090,37398
20/07/2018;2;2018;23815,05132
21/07/2018;2;2018;22210,53054
22/07/2018;2;2018;21455,71848
23/07/2018;2;2018;23153,28722
24/07/2018;2;2018;22518,931
25/07/2018;2;2018;21839,1894
26/07/2018;2;2018;22433,13211
27/07/2018;2;2018;22903,76492
28/07/2018;2;2018;21441,20252
29/07/2018;2;2018;20481,39302
30/07/2018;2;2018;23882,12594
31/07/2018;2;2018;24117,13842
01/08/2018;2;2018;23334,68975
02/08/2018;2;2018;22113,24247
03/08/2018;2;2018;22626,86679
04/08/2018;2;2018;21677,35471
05/08/2018;2;2018;20600,70729
06/08/2018;2;2018;22531,8471
07/08/2018;2;2018;23249,23547
08/08/2018;2;2018;23421,43294
09/08/2018;2;2018;23292,4732
10/08/2018;2;2018;23541,30982
11/08/2018;2;2018;22885,90604
12/08/2018;2;2018;20452,6835
13/08/2018;2;2018;22554,80057
14/08/2018;2;2018;23728,08381
15/08/2018;2;2018;23914,81814
16/08/2018;2;2018;22994,97923
17/08/2018;2;2018;22462,54541
18/08/2018;2;2018;21069,00346
19/08/2018;2;2018;19739,6543
20/08/2018;2;2018;23232,28988
21/08/2018;2;2018;24292,17569
22/08/2018;2;2018;23634,83279
23/08/2018;2;2018;24508,18572
24/08/2018;2;2018;24729,59078
25/08/2018;2;2018;22730,03696
26/08/2018;2;2018;20737,78786
27/08/2018;2;2018;22089,67142
28/08/2018;2;2018;22200,61347
29/08/2018;2;2018;22328,63902
30/08/2018;2;2018;21994,07608
31/08/2018;2;2018;22341,25886
01/09/2018;2;2018;21482,36927
02/09/2018;2;2018;19820,73872
03/09/2018;2;2018;22815,87792
04/09/2018;2;2018;23876,14142
05/09/2018;2;2018;22820,7308
06/09/2018;2;2018;21403,36874
07/09/2018;2;2018;20473,98983
08/09/2018;2;2018;21036,29334
09/09/2018;2;2018;20029,07866
10/09/2018;2;2018;22505,98287
11/09/2018;2;2018;23099,63628
12/09/2018;2;2018;22311,99689
13/09/2018;2;2018;21862,76364
14/09/2018;2;2018;21780,30626
15/09/2018;2;2018;21111,89961
16/09/2018;2;2018;20367,3988
17/09/2018;2;2018;22339,72558
