Data;Temp Min;Temp Max;Precipitacao;Localidade;Tipo
2017-08-03 00:00:00;15,1;21,7;0;1;Realizado
2017-08-04 00:00:00;12,3;16,1;1,3;1;Realizado
2017-08-05 00:00:00;12,8;17,3;4;1;Realizado
2017-08-06 00:00:00;10,9;19,9;0;1;Realizado
2017-08-07 00:00:00;9,6;24,4;0;1;Realizado
2017-08-08 00:00:00;12;27,7;0;1;Realizado
2017-08-09 00:00:00;14,7;29;0;1;Realizado
2017-08-10 00:00:00;13,3;18,8;0;1;Realizado
2017-08-11 00:00:00;11,8;22,8;0;1;Realizado
2017-08-12 00:00:00;13,7;24,7;0;1;Realizado
2017-08-13 00:00:00;13,7;29,5;0;1;Realizado
2017-08-14 00:00:00;17,6;25,1;0;1;Realizado
2017-08-15 00:00:00;14,1;16,8;0;1;Realizado
2017-08-16 00:00:00;14,1;17,1;5,2;1;Realizado
2017-08-17 00:00:00;14,8;16,4;4,9;1;Realizado
2017-08-18 00:00:00;14,1;17,3;9,6;1;Realizado
2017-08-19 00:00:00;15,7;17,9;3,1;1;Realizado
2017-08-20 00:00:00;15,1;21;5,5;1;Realizado
2017-08-21 00:00:00;11,5;15,1;22,5;1;Realizado
2017-08-22 00:00:00;11,3;18,1;2;1;Realizado
2017-08-23 00:00:00;12,8;22,3;0;1;Realizado
2017-08-24 00:00:00;13,4;22,8;0;1;Realizado
2017-08-25 00:00:00;13;25,3;0;1;Realizado
2017-08-26 00:00:00;12;26,7;0;1;Realizado
2017-08-27 00:00:00;12;27,2;0;1;Realizado
2017-08-28 00:00:00;12;26,6;0;1;Realizado
2017-08-29 00:00:00;12,1;27,9;0;1;Realizado
2017-08-30 00:00:00;13,5;30,5;0;1;Realizado
2017-08-31 00:00:00;15,6;22,9;0;1;Realizado
2017-08-01 00:00:00;15;26,3;2,4;2;Realizado
2017-08-02 00:00:00;16,7;27,8;0;2;Realizado
